u6,chakana,Ko'z uchun suvga chidamli podvodka Dip Eyeliner Black 5.1 ml,31900,2259 so'm/oyiga,images/podvodka.jpg
id,toifa,nomi,narxi,oylik,rasm
u1,chakana,Dvigatel tozalovchi Axma Avtoproseries 500 g,27000,1912 so'm/oyiga,images/dvigatel.jpg
u2,chakana,Ko'z uchun suvga chidamli podvodka Dip Eyeliner Black 5.1 ml,31000,2195 so'm/oyiga,images/podvodka.jpg
u3,chakana,Soqol olish uchun ko'pik Namlovchi Nivea Men Himoya va Parvarish 200 ml,42990,3045 so'm/oyiga,images/kopik.jpg
u4,chakana,NIVEA MEN erkaklar uchun dezodorant sprey qora va oq uchun ko'rinmas,35990,2549 so'm/oyiga,images/nivea_men.jpg
u5,chakana,Ayollar uchun dezodorant sprey Nivea Pearl Beauty marvarid ekstrakti bilan,34990,2478 so'm/oyiga,images/nivea_women.jpg
